id,name,externalid,,,,
1403,Giswil,,,,154,Birmensdorf
1404,Kerns,,,,155,Birr
1405,Lungern,,,,156,Birsfelden
1406,Sachseln,,,,157,Bischofszell
1407,Sarnen,,,,158,Bissegg
141,Thalwil,,,,159,Bitsch
1501,Beckenried,,,,160,Bivio
1502,Buochs,,,,161,Bière
1503,Dallenwil,,,,162,Bleienbach
1504,Emmetten,,,,163,Bleiken
1505,Ennetbürgen,,,,164,Blonay
1506,Ennetmoos,,,,165,Blumenstein
1507,Hergiswil ,,,,166,Boenigen
1508,Oberdorf ,,,,167,Boll
1509,Stans,,,,168,Boll BE
151,Erlenbach (ZH),,,,169,Bolligen
1510,Stansstad,,,,170,Boltigen
1511,Wolfenschiessen,,,,171,Bonaduz
152,Herrliberg,,,,172,Boncourt
153,Hombrechtikon,,,,173,Boningen
154,Küsnacht (ZH),,,,174,Boniswil
155,Männedorf,,,,175,Bonstetten
156,Meilen,,,,176,Boppelsen
157,Oetwil am See,,,,177,Bossonnens
158,Stäfa,,,,178,Bottens
159,Uetikon am See,,,,179,Bottighofen
160,Zumikon,,,,180,Bottmingen
161,Zollikon,,,,181,Boudevilliers
1630,Glarus Nord,,,,182,Boudry
1631,Glarus Süd,,,,183,Boulens
1632,Glarus,,,,184,Bourguillon
1701,Baar,,,,185,Bovernier
1702,Cham,,,,186,Braunwald
1703,Hünenberg,,,,187,Braunwald GL
1704,Menzingen,,,,188,Breitenbach
1705,Neuheim,,,,189,Bremblens
1706,Oberägeri,,,,190,Bremgarten
1707,Risch,,,,191,Brent
1708,Steinhausen,,,,192,Bretonnieres
1709,Unterägeri,,,,193,Brienz
1710,Walchwil,,,,194,Brig
1711,Zug,,,,195,Brione S/ Minusio
172,Fehraltorf,,,,196,Brione s/Minusio
173,Hittnau,,,,197,Brislach
176,Lindau,,,,198,Brittnau
177,Pfäffikon,,,,199,Brunnadern
178,Russikon,,,,200,Brunnen
180,Weisslingen,,,,201,Brünisried
181,Wila,,,,202,Brütten
182,Wildberg,,,,203,Brüttisellen
191,Dübendorf,,,,204,Bubikon
192,Egg,,,,205,Buch
193,Fällanden,,,,206,Buch am Irchel
194,Greifensee,,,,207,Buchberg
195,Maur,,,,208,Buchs
196,Mönchaltorf,,,,209,Buchs SG
197,Schwerzenbach,,,,210,Buochs
198,Uster,,,,211,Buonas
199,Volketswil,,,,212,Burgdorf
2,Affoltern am Albis,,,,213,Bursins
200,Wangen-Brüttisellen,,,,214,Bussigny pres Lausanne
2008,Châtillon ,,,,215,Bussigny-près-Lausanne
2011,Cugy ,,,,216,Buttes
